date,deal_type,volume_gj_per_day,price,supplier,delivery_point,start_date,end_date
2021-10-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-14,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-15,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-16,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-17,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-18,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-19,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-20,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-21,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-22,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-23,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-24,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-25,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-26,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-27,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-28,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-29,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-30,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-10-31,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-01,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-14,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-15,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-16,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-17,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-18,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-19,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-20,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-21,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-22,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-23,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-24,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-25,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-26,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-27,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-28,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-29,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-11-30,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-01,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-14,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-15,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-16,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-17,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-18,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-19,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-20,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-21,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-22,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-23,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-24,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-25,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-26,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-27,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-28,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-29,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-30,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2021-12-31,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-01,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-14,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-15,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-16,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-17,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-18,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-19,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-20,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-21,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-22,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-23,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-24,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-25,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-26,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-27,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-28,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-29,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-30,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-01-31,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-01,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-14,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-15,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-16,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-17,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-18,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-19,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-20,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-21,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-22,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-23,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-24,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-25,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-26,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-27,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-02-28,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-01,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-14,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-15,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-16,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-17,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-18,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-19,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-20,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-21,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-22,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-23,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-24,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-25,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-26,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-27,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-28,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-29,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-30,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-03-31,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-01,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-14,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-15,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-16,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-17,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-18,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-19,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-20,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-21,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-22,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-23,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-24,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-25,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-26,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-27,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-28,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-29,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-04-30,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-01,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-14,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-15,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-16,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-17,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-18,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-19,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-20,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-21,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-22,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-23,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-24,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-25,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-26,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-27,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-28,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-29,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-30,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-05-31,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-01,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-02,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-03,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-04,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-05,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-06,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-07,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-08,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-09,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-10,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-11,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-12,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
2022-06-13,Fixed,1000.0,3.25,Shell,DAWN,2021-08-02,2025-12-31
